""	"symbol"	"gene_number"
"CRAT"	"CRAT"	"1384.3"
"CYP4A11"	"CYP4A11"	"1579.1"
"SLC1A7"	"SLC1A7"	"6512.1"
"FASN"	"FASN"	"2194.1"
"SLC1A2"	"SLC1A2"	"6506.1"
"SLC27A1"	"SLC27A1"	"376497.2"
"SLC27A1"	"SLC27A1"	"376497.1"
"ATP6V0A4"	"ATP6V0A4"	"50617.1"
"SLC27A4"	"SLC27A4"	"10999.1"
"ATP6V1B1"	"ATP6V1B1"	"525.1"
"SLC27A3"	"SLC27A3"	"11000.1"
"ALDOC"	"ALDOC"	"230.1"
"ATP6V1H"	"ATP6V1H"	"51606.2"
"ALDOA"	"ALDOA"	"226.2"
"ATP6V1G3"	"ATP6V1G3"	"127124.1"
"ATP6V0C"	"ATP6V0C"	"527.1"
"SLC7A5"	"SLC7A5"	"8140.1"
"ALDOB"	"ALDOB"	"229.1"
"ATP6V0A2"	"ATP6V0A2"	"23545.1"
"ALDOA"	"ALDOA"	"226.3"
"ALDOA"	"ALDOA"	"226.1"
"ATP6V1G2"	"ATP6V1G2"	"534.1"
"PFKFB1"	"PFKFB1"	"5207.1"
"ATP6V1C1"	"ATP6V1C1"	"528.2"
"ATP6V1B2"	"ATP6V1B2"	"526.1"
"SLC7A8"	"SLC7A8"	"23428.2"
"SLC7A8"	"SLC7A8"	"23428.1"
"PFKFB2"	"PFKFB2"	"5208.1"
"CDO1"	"CDO1"	"1036.1"
"ATP6V1C2"	"ATP6V1C2"	"245973.1"
"PFKFB4"	"PFKFB4"	"5210.1"
"FBP2"	"FBP2"	"8789.1"
"PFKFB3"	"PFKFB3"	"5209.1"
"SLC43A2"	"SLC43A2"	"124935.1"
"FBP1"	"FBP1"	"2203.1"
"FECH"	"FECH"	"2235.1"
"FECH"	"FECH"	"2235.2"
"SLC7A11"	"SLC7A11"	"23657.1"
"AICDA"	"AICDA"	"57379.1"
"GBA"	"GBA"	"2629.4"
"ALDH1L1"	"ALDH1L1"	"10840.1"
"GBGT1"	"GBGT1"	"26301.1"
"CYBRD1"	"CYBRD1"	"79901.1"
"CDA"	"CDA"	"978.1"
"FUK"	"FUK"	"197258.1"
"UCK2"	"UCK2"	"7371.1"
"UCK1"	"UCK1"	"83549.1"
"ALDH5A1"	"ALDH5A1"	"7915.2"
"AFMID"	"AFMID"	"125061.1"
"ALDH6A1"	"ALDH6A1"	"4329.1"
"CMPK1"	"CMPK1"	"51727.1"
"DHFR"	"DHFR"	"1719.1"
"CMPK2"	"CMPK2"	"129607.1"
"ALDH5A1"	"ALDH5A1"	"7915.1"
"FPGS"	"FPGS"	"2356.1"
"GLDC"	"GLDC"	"2731.1"
"SLC2A8"	"SLC2A8"	"29988.1"
"AMT"	"AMT"	"275.1"
"GCSH"	"GCSH"	"2653.1"
"DGKQ"	"DGKQ"	"1609.1"
"SLC2A7"	"SLC2A7"	"155184.1"
"GCNT2"	"GCNT2"	"2651.1"
"SLC2A2"	"SLC2A2"	"6514.1"
"SLC2A5"	"SLC2A5"	"6518.1"
"DGKZ"	"DGKZ"	"8525.3"
"SLC2A11"	"SLC2A11"	"66035.1"
"SLC35C1"	"SLC35C1"	"55343.1"
"TSTA3"	"TSTA3"	"7264.1"
"DGKZ"	"DGKZ"	"8525.1"
"ALDH1L2"	"ALDH1L2"	"160428.1"
"GGH"	"GGH"	"8836.1"
"MTHFD1"	"MTHFD1"	"4522.1"
"DGKZ"	"DGKZ"	"8525.2"
"MTHFD1L"	"MTHFD1L"	"25902.1"
"DGKG"	"DGKG"	"1608.1"
"GGCT"	"GGCT"	"79017.1"
"FUCA2"	"FUCA2"	"2519.1"
"GYS1"	"GYS1"	"2997.1"
"DGKH"	"DGKH"	"160851.2"
"FUCA1"	"FUCA1"	"2517.1"
"DGKI"	"DGKI"	"9162.1"
"FAH"	"FAH"	"2184.1"
"DGKD"	"DGKD"	"8527.2"
"GYG2"	"GYG2"	"8908.1"
"FH"	"FH"	"2271.1"
"GYG1"	"GYG1"	"2992.1"
"DGKH"	"DGKH"	"160851.1"
"FUT1"	"FUT1"	"2523.1"
"DGKE"	"DGKE"	"8526.1"
"GYS2"	"GYS2"	"2998.1"
"FUT3"	"FUT3"	"2525.1"
"GGT5"	"GGT5"	"2687.1"
"SHMT1"	"SHMT1"	"6470.1"
"DGKD"	"DGKD"	"8527.1"
"DGKA"	"DGKA"	"1606.1"
"SHMT2"	"SHMT2"	"6472.1"
"FUT9"	"FUT9"	"10690.1"
"SHMT1"	"SHMT1"	"6470.2"
"B4GALT5"	"B4GALT5"	"9334.1"
"B4GALT2"	"B4GALT2"	"8704.1"
"GLA"	"GLA"	"2717.1"
"B4GALT2"	"B4GALT2"	"8704.2"
"B4GALT3"	"B4GALT3"	"8703.1"
"GBE1"	"GBE1"	"2632.1"
"B4GALT1"	"B4GALT1"	"2683.1"
"GPD2"	"GPD2"	"2820.1"
"ALDH18A1"	"ALDH18A1"	"5832.1"
"GUSB"	"GUSB"	"2990.1"
"H6PD"	"H6PD"	"9563.1"
"HYAL3"	"HYAL3"	"8372.1"
"HSD11B1"	"HSD11B1"	"3290.1"
"G6PD"	"G6PD"	"2539.1"
"HSD11B2"	"HSD11B2"	"3291.1"
"HSD17B1"	"HSD17B1"	"3292.1"
"GLCE"	"GLCE"	"26035.1"
"SLC37A4"	"SLC37A4"	"2542.1"
"GAMT"	"GAMT"	"2593.2"
"CHPF2"	"CHPF2"	"54480.1"
"EXT2"	"EXT2"	"2132.1"
"HSD17B8"	"HSD17B8"	"7923.1"
"HSD17B2"	"HSD17B2"	"3294.1"
"EXT2"	"EXT2"	"2132.2"
"GAMT"	"GAMT"	"2593.1"
"EXT1"	"EXT1"	"2131.1"
"HSD17B7"	"HSD17B7"	"51478.1"
"GAL3ST1"	"GAL3ST1"	"9514.1"
"HSD3B1"	"HSD3B1"	"3283.1"
"GLB1"	"GLB1"	"2720.1"
"HSD3B2"	"HSD3B2"	"3284.1"
"B3GAT1"	"B3GAT1"	"27087.2"
"NEU1"	"NEU1"	"4758.1"
"B3GAT1"	"B3GAT1"	"27087.1"
"HSD3B7"	"HSD3B7"	"80270.1"
"PDXP"	"PDXP"	"57026.1"
"CTSA"	"CTSA"	"5476.1"
"B3GAT2"	"B3GAT2"	"135152.1"
"GALNS"	"GALNS"	"2588.1"
"B3GAT3"	"B3GAT3"	"26229.1"
"GALC"	"GALC"	"2581.1"
"NAGLU"	"NAGLU"	"4669.1"
"IDH3G"	"IDH3G"	"3421.1"
"B4GALNT1"	"B4GALNT1"	"2583.1"
"CSGALNACT2"	"CSGALNACT2"	"55454.1"
"IDH3B"	"IDH3B"	"3420.2"
"IDH3B"	"IDH3B"	"3420.3"
"NDST1"	"NDST1"	"3340.1"
"NDST2"	"NDST2"	"8509.1"
"NDST3"	"NDST3"	"9348.1"
"CSGALNACT1"	"CSGALNACT1"	"55790.1"
"NDST4"	"NDST4"	"64579.1"
"IDH3A"	"IDH3A"	"3419.1"
"IDH3B"	"IDH3B"	"3420.1"
"CHPF"	"CHPF"	"79586.1"
"IDH3G"	"IDH3G"	"3421.2"
"IDH1"	"IDH1"	"3417.1"
"EXTL3"	"EXTL3"	"2137.1"
"IDH2"	"IDH2"	"3418.1"
"CHSY1"	"CHSY1"	"22856.1"
"CHSY3"	"CHSY3"	"337876.1"
"TPO"	"TPO"	"7173.2"
"TPO"	"TPO"	"7173.5"
"EXTL2"	"EXTL2"	"2135.1"
"EXTL1"	"EXTL1"	"2134.1"
"GALNT10"	"GALNT10"	"55568.1"
"SLC2A9"	"SLC2A9"	"56606.1"
"TPO"	"TPO"	"7173.3"
"GALNT10"	"GALNT10"	"55568.2"
"TPO"	"TPO"	"7173.4"
"TPO"	"TPO"	"7173.1"
"SLC2A9"	"SLC2A9"	"56606.2"
"GALNT2"	"GALNT2"	"2590.1"
"SLC2A12"	"SLC2A12"	"154091.1"
"IDUA"	"IDUA"	"3425.1"
"GALNT3"	"GALNT3"	"2591.1"
"SLC2A14"	"SLC2A14"	"144195.1"
"SLC2A6"	"SLC2A6"	"11182.1"
"GALNT13"	"GALNT13"	"114805.1"
"SLC5A1"	"SLC5A1"	"6523.1"
"BCAT2"	"BCAT2"	"587.1"
"GALNT4"	"GALNT4"	"8693.1"
"GALNT11"	"GALNT11"	"63917.1"
"GALNT9"	"GALNT9"	"50614.1"
"SLC43A1"	"SLC43A1"	"8501.1"
"GALNT1"	"GALNT1"	"2589.1"
"AGL"	"AGL"	"178.3"
"GALNT7"	"GALNT7"	"51809.1"
"AGL"	"AGL"	"178.6"
"AGL"	"AGL"	"178.2"
"MIOX"	"MIOX"	"55586.1"
"SLC2A13"	"SLC2A13"	"114134.1"
"GALNT15"	"GALNT15"	"117248.1"
"GALNT5"	"GALNT5"	"11227.1"
"SLC5A3"	"SLC5A3"	"6526.1"
"AGL"	"AGL"	"178.4"
"GALNT6"	"GALNT6"	"11226.1"
"GALNT12"	"GALNT12"	"79695.1"
"GALNT14"	"GALNT14"	"79623.1"
"AGL"	"AGL"	"178.1"
"IDI1"	"IDI1"	"3422.1"
"IDI2"	"IDI2"	"91734.1"
"GALNT8"	"GALNT8"	"26290.1"
"SLC2A10"	"SLC2A10"	"81031.1"
"AGL"	"AGL"	"178.5"
"B3GALT6"	"B3GALT6"	"126792.1"
"PYGM"	"PYGM"	"5837.1"
"PYGL"	"PYGL"	"5836.1"
"PYGB"	"PYGB"	"5834.1"
"SLC5A8"	"SLC5A8"	"160728.1"
"SUCLG2"	"SUCLG2"	"8801.1"
"B4GALT7"	"B4GALT7"	"11285.1"
"SUCLG1"	"SUCLG1"	"8802.1"
"GCLC"	"GCLC"	"2729.1"
"MGAM"	"MGAM"	"8972.1"
"GART"	"GART"	"2618.1"
"GCLM"	"GCLM"	"2730.1"
"SUCLA2"	"SUCLA2"	"8803.1"
"SLC12A7"	"SLC12A7"	"10723.1"
"GART"	"GART"	"2618.2"
"SLC12A6"	"SLC12A6"	"9990.1"
"GLUD1"	"GLUD1"	"2746.1"
"AGA"	"AGA"	"175.1"
"GBA"	"GBA"	"2629.1"
"SLC12A4"	"SLC12A4"	"6560.1"
"GBA"	"GBA"	"2629.2"
"GLUD2"	"GLUD2"	"2747.1"
"GBA"	"GBA"	"2629.3"
"GBA"	"GBA"	"2629.5"
"OXCT1"	"OXCT1"	"5019.1"
"FTCD"	"FTCD"	"10841.1"
"FTCD"	"FTCD"	"10841.2"
"SLC12A5"	"SLC12A5"	"57468.1"
"KHK"	"KHK"	"3795.1"
"KHK"	"KHK"	"3795.2"
"DBT"	"DBT"	"1629.1"
"SLC9A7"	"SLC9A7"	"84679.1"
"SLC9A8"	"SLC9A8"	"23315.1"
"GLS2"	"GLS2"	"27165.2"
"BCKDHB"	"BCKDHB"	"594.1"
"GLS"	"GLS"	"2744.1"
"GLS2"	"GLS2"	"27165.1"
"KMO"	"KMO"	"8564.1"
"LCT"	"LCT"	"3938.1"
"BCKDHA"	"BCKDHA"	"593.1"
"BCKDHB"	"BCKDHB"	"594.2"
"OPLAH"	"OPLAH"	"26873.1"
"SLC25A22"	"SLC25A22"	"79751.1"
"SLC25A18"	"SLC25A18"	"83733.1"
"OAT"	"OAT"	"4942.1"
"GCDH"	"GCDH"	"2639.1"
"ACP2"	"ACP2"	"53.1"
"LCAT"	"LCAT"	"3931.1"
"UMPS"	"UMPS"	"7372.1"
"GCDH"	"GCDH"	"2639.2"
"SLC17A6"	"SLC17A6"	"57084.1"
"SLC26A3"	"SLC26A3"	"1811.1"
"SLC17A8"	"SLC17A8"	"246213.1"
"SLC17A7"	"SLC17A7"	"57030.1"
"SLC22A10"	"SLC22A10"	"387775.1"
"SLC26A1"	"SLC26A1"	"10861.3"
"SLC26A1"	"SLC26A1"	"10861.2"
"SLC26A2"	"SLC26A2"	"1836.1"
"CYB5D1"	"CYB5D1"	"124637.1"
"HAO2"	"HAO2"	"51179.1"
"HAO2"	"HAO2"	"51179.2"
"SLC26A1"	"SLC26A1"	"10861.1"
"HAO1"	"HAO1"	"54363.1"
"AQP9"	"AQP9"	"366.1"
"CYP11A1"	"CYP11A1"	"1583.1"
"GATM"	"GATM"	"2628.1"
"CYP11B1"	"CYP11B1"	"1584.1"
"CYP11B2"	"CYP11B2"	"1585.1"
"CYP4F8"	"CYP4F8"	"11283.1"
"GRHPR"	"GRHPR"	"9380.1"
"CYP17A1"	"CYP17A1"	"1586.1"
""	""	"2713.1"
"LSS"	"LSS"	"4047.1"
"CYP19A1"	"CYP19A1"	"1588.2"
"LGALS13"	"LGALS13"	"29124.1"
"CYP19A1"	"CYP19A1"	"1588.1"
"PLA2G4A"	"PLA2G4A"	"5321.1"
"GK"	"GK"	"2710.2"
"CYP3A4"	"CYP3A4"	"1576.1"
"GK"	"GK"	"2710.1"
"GK2"	"GK2"	"2712.1"
"CLC"	"CLC"	"1178.1"
"PIPOX"	"PIPOX"	"51268.1"
"CEL"	"CEL"	"1056.1"
"HAGH"	"HAGH"	"3029.1"
"SLC6A9"	"SLC6A9"	"6536.1"
"SLC6A9"	"SLC6A9"	"6536.2"
"CYP21A2"	"CYP21A2"	"1589.1"
"CYP27A1"	"CYP27A1"	"1593.1"
"LIPC"	"LIPC"	"3990.1"
"CYP2A6"	"CYP2A6"	"1548.1"
"PNPLA3"	"PNPLA3"	"80339.1"
"LPL"	"LPL"	"4023.1"
"PGD"	"PGD"	"5226.1"
"CYP2A13"	"CYP2A13"	"1553.1"
"MGLL"	"MGLL"	"11343.1"
"CYP2C18"	"CYP2C18"	"1562.1"
"MGLL"	"MGLL"	"11343.2"
"GNMT"	"GNMT"	"27232.1"
"CYP2C8"	"CYP2C8"	"1558.2"
"GPAM"	"GPAM"	"57678.1"
"CYP2C8"	"CYP2C8"	"1558.1"
"PLA2G3"	"PLA2G3"	"50487.1"
"PIGW"	"PIGW"	"284098.1"
"CYP2C9"	"CYP2C9"	"1559.1"
"PGAP1"	"PGAP1"	"80055.1"
"PIGM"	"PIGM"	"93183.1"
"LRAT"	"LRAT"	"9227.1"
"CYP2D6"	"CYP2D6"	"1565.1"
"PIGX"	"PIGX"	"54965.1"
"CYP2F1"	"CYP2F1"	"1572.1"
"CYP39A1"	"CYP39A1"	"51302.1"
"GSR"	"GSR"	"2936.1"
"SC5D"	"SC5D"	"6309.1"
"CYP3A43"	"CYP3A43"	"64816.3"
"CYP3A43"	"CYP3A43"	"64816.1"
"LTA4H"	"LTA4H"	"4048.1"
"CYP3A43"	"CYP3A43"	"64816.2"
"CYP3A5"	"CYP3A5"	"1577.1"
"LTC4S"	"LTC4S"	"4056.1"
"PRDX1"	"PRDX1"	"5052.1"
"PRDX2"	"PRDX2"	"7001.3"
"CYP3A7"	"CYP3A7"	"1551.1"
"PRDX2"	"PRDX2"	"7001.1"
"MGST3"	"MGST3"	"4259.1"
"CYP46A1"	"CYP46A1"	"10858.1"
"LTC4S"	"LTC4S"	"4056.2"
"GPX1"	"GPX1"	"2876.1"
"CYP4F12"	"CYP4F12"	"66002.1"
"PRDX1"	"PRDX1"	"5052.3"
"PRDX2"	"PRDX2"	"7001.2"
"CYP4F2"	"CYP4F2"	"8529.1"
"GPX4"	"GPX4"	"2879.1"
"MGST2"	"MGST2"	"4258.1"
"CYP4F3"	"CYP4F3"	"4051.1"
"GPX1"	"GPX1"	"2876.2"
"CYP7B1"	"CYP7B1"	"9420.1"
"PRDX1"	"PRDX1"	"5052.2"
"CYP8B1"	"CYP8B1"	"1582.1"
"GPX2"	"GPX2"	"2877.1"
"PYCR1"	"PYCR1"	"5831.1"
"GPX3"	"GPX3"	"2878.1"
"GSTZ1"	"GSTZ1"	"2954.3"
"PYCR1"	"PYCR1"	"5831.2"
"GSTZ1"	"GSTZ1"	"2954.1"
"GPX6"	"GPX6"	"257202.1"
"GPX7"	"GPX7"	"2882.1"
"GSTZ1"	"GSTZ1"	"2954.2"
"PAFAH1B1"	"PAFAH1B1"	"5048.1"
"GAA"	"GAA"	"2548.1"
"PRDX3"	"PRDX3"	"10935.1"
"PRDX3"	"PRDX3"	"10935.2"
"PAFAH2"	"PAFAH2"	"5051.1"
"PAFAH1B3"	"PAFAH1B3"	"5050.1"
"GSS"	"GSS"	"2937.1"
"PAFAH1B2"	"PAFAH1B2"	"5049.1"
"MCCC2"	"MCCC2"	"64087.1"
"PLA2G7"	"PLA2G7"	"7941.1"
"MCCC1"	"MCCC1"	"56922.1"
"MLYCD"	"MLYCD"	"23417.1"
"GGT1"	"GGT1"	"2678.3"
"SLC35B2"	"SLC35B2"	"347734.1"
"ATP10A"	"ATP10A"	"57194.1"
"GGT1"	"GGT1"	"2678.2"
"PLD1"	"PLD1"	"5337.1"
"GGT1"	"GGT1"	"2678.1"
"MPST"	"MPST"	"4357.1"
"PLD2"	"PLD2"	"5338.1"
""	""	"2679.1"
"MDH1"	"MDH1"	"4190.1"
"ACMSD"	"ACMSD"	"130013.1"
"MDH2"	"MDH2"	"4191.1"
"ME2"	"ME2"	"4200.1"
"NPR1"	"NPR1"	"4881.1"
"PC"	"PC"	"5091.2"
"NPR2"	"NPR2"	"4882.1"
"GUCY2C"	"GUCY2C"	"2984.1"
""	""	"2974.1"
"GUCY1A3"	"GUCY1A3"	"2982.1"
"GUCY2F"	"GUCY2F"	"2986.1"
"ME1"	"ME1"	"4199.1"
"ME3"	"ME3"	"10873.1"
"IDO1"	"IDO1"	"3620.1"
"GUCY1B3"	"GUCY1B3"	"2983.1"
"PC"	"PC"	"5091.1"
"GUCY2D"	"GUCY2D"	"3000.1"
"CYP2C19"	"CYP2C19"	"1557.1"
"CYP1B1"	"CYP1B1"	"1545.1"
"NPR2"	"NPR2"	"4882.2"
"ABCB4"	"ABCB4"	"5244.2"
"GUCY1A2"	"GUCY1A2"	"2977.1"
"CYP1A1"	"CYP1A1"	"1543.1"
"ABCB4"	"ABCB4"	"5244.3"
"CYP1A2"	"CYP1A2"	"1544.1"
"GDA"	"GDA"	"9615.1"
"MAT2A"	"MAT2A"	"4144.1"
"ABCB4"	"ABCB4"	"5244.1"
"MAT1A"	"MAT1A"	"4143.1"
"PDE7A"	"PDE7A"	"5150.1"
"MAT2B"	"MAT2B"	"27430.1"
"MAT2B"	"MAT2B"	"27430.2"
"MTR"	"MTR"	"4548.1"
"CA5A"	"CA5A"	"763.1"
"PDE4C"	"PDE4C"	"5143.1"
"CA5B"	"CA5B"	"11238.1"
"MVK"	"MVK"	"4598.1"
"PDE1C"	"PDE1C"	"5137.1"
"INPPL1"	"INPPL1"	"3636.1"
"PDE8A"	"PDE8A"	"5151.1"
"PIGN"	"PIGN"	"23556.1"
"PDE8A"	"PDE8A"	"5151.4"
"PIGN"	"PIGN"	"23556.2"
"PIGV"	"PIGV"	"55650.1"
"INPP5D"	"INPP5D"	"3635.1"
"PDE7A"	"PDE7A"	"5150.2"
"INPP5B"	"INPP5B"	"3633.1"
"SYNJ1"	"SYNJ1"	"8867.2"
"PDE3B"	"PDE3B"	"5140.2"
"INPP5J"	"INPP5J"	"27124.1"
"DUOX1"	"DUOX1"	"53905.1"
"PDE8A"	"PDE8A"	"5151.3"
"DUOX2"	"DUOX2"	"50506.1"
"DUOX1"	"DUOX1"	"53905.2"
"PDE4B"	"PDE4B"	"5142.1"
"AQP8"	"AQP8"	"343.1"
"PIGF"	"PIGF"	"5281.2"
"INPP5J"	"INPP5J"	"27124.2"
"SYNJ1"	"SYNJ1"	"8867.1"
"INPP5A"	"INPP5A"	"3632.1"
"PDE10A"	"PDE10A"	"10846.1"
"PIGO"	"PIGO"	"84720.2"
"PIGF"	"PIGF"	"5281.1"
"PDE8A"	"PDE8A"	"5151.2"
"PIGO"	"PIGO"	"84720.1"
"INPP5E"	"INPP5E"	"56623.1"
"PDE4A"	"PDE4A"	"5141.1"
"PDE8B"	"PDE8B"	"8622.1"
"INPP1"	"INPP1"	"3628.1"
"ITPKB"	"ITPKB"	"3707.1"
"PIGG"	"PIGG"	"54872.1"
"PIGZ"	"PIGZ"	"80235.1"
"PDE4D"	"PDE4D"	"5144.1"
"ITPKA"	"ITPKA"	"3706.1"
"PDE1B"	"PDE1B"	"5153.1"
"ITPKC"	"ITPKC"	"80271.1"
"PIGS"	"PIGS"	"94005.1"
"PDE7B"	"PDE7B"	"27115.1"
"PIGU"	"PIGU"	"128869.1"
"ISYNA1"	"ISYNA1"	"51477.1"
"PDE8A"	"PDE8A"	"5151.5"
"PDE3B"	"PDE3B"	"5140.1"
"PIGK"	"PIGK"	"10026.1"
"PDE2A"	"PDE2A"	"5138.1"
"PIGT"	"PIGT"	"51604.1"
"INPP4A"	"INPP4A"	"3631.2"
"PDE3A"	"PDE3A"	"5139.1"
"INPP4B"	"INPP4B"	"8821.1"
"INPP4A"	"INPP4A"	"3631.1"
"PDE11A"	"PDE11A"	"50940.1"
"GANC"	"GANC"	"2595.1"
"MCEE"	"MCEE"	"84693.1"
"GPAA1"	"GPAA1"	"8733.1"
"PDE1A"	"PDE1A"	"5136.1"
"MUT"	"MUT"	"4594.1"
"PDE1A"	"PDE1A"	"5136.2"
"HSD17B10"	"HSD17B10"	"3028.1"
"PDE9A"	"PDE9A"	"5152.14"
"HADH"	"HADH"	"3033.1"
"HAS2"	"HAS2"	"3037.1"
"MOGAT2"	"MOGAT2"	"80168.1"
"MOGAT1"	"MOGAT1"	"116255.1"
"PDE6C"	"PDE6C"	"5146.1"
"MTAP"	"MTAP"	"4507.1"
"HAS3"	"HAS3"	"3038.1"
"HAS3"	"HAS3"	"3038.2"
"PDE9A"	"PDE9A"	"5152.1"
"HAS1"	"HAS1"	"3036.1"
"COQ2"	"COQ2"	"27235.1"
"PDE9A"	"PDE9A"	"5152.12"
"SLC4A1"	"SLC4A1"	"6521.1"
"SLC4A9"	"SLC4A9"	"83697.1"
"MTHFD2"	"MTHFD2"	"10797.1"
"C1GALT1"	"C1GALT1"	"56913.1"
"PDE9A"	"PDE9A"	"5152.15"
"ASPA"	"ASPA"	"443.1"
"PDE9A"	"PDE9A"	"5152.4"
"ACY3"	"ACY3"	"91703.1"
"PDE9A"	"PDE9A"	"5152.3"
"SLC4A2"	"SLC4A2"	"6522.1"
"SLC4A3"	"SLC4A3"	"6508.1"
"PDE6A"	"PDE6A"	"5145.1"
"SLC4A3"	"SLC4A3"	"6508.2"
"PDE9A"	"PDE9A"	"5152.5"
"NAGA"	"NAGA"	"4668.1"
"SLC4A8"	"SLC4A8"	"9498.1"
"SLC4A10"	"SLC4A10"	"57282.1"
"SLC5A5"	"SLC5A5"	"6528.1"
"HK1"	"HK1"	"3098.5"
"HKDC1"	"HKDC1"	"80201.1"
"HK1"	"HK1"	"3098.2"
"PDE9A"	"PDE9A"	"5152.17"
"HK1"	"HK1"	"3098.4"
"PDE9A"	"PDE9A"	"5152.18"
"PDE5A"	"PDE5A"	"8654.1"
"GCK"	"GCK"	"2645.1"
"PDE5A"	"PDE5A"	"8654.3"
"GCK"	"GCK"	"2645.3"
"ATP1B3"	"ATP1B3"	"483.1"
"PDE9A"	"PDE9A"	"5152.16"
"HK3"	"HK3"	"3101.1"
"PDE6H"	"PDE6H"	"5149.1"
"HK1"	"HK1"	"3098.3"
"ATP1A3"	"ATP1A3"	"478.1"
"PDE5A"	"PDE5A"	"8654.2"
"ATP1A4"	"ATP1A4"	"480.1"
"ATP1B1"	"ATP1B1"	"481.1"
"HK1"	"HK1"	"3098.1"
"GCK"	"GCK"	"2645.2"
"HK2"	"HK2"	"3099.1"
"PDE6D"	"PDE6D"	"5147.1"
"ATP1B2"	"ATP1B2"	"482.1"
"ATP1A1"	"ATP1A1"	"476.1"
"PDE9A"	"PDE9A"	"5152.6"
"ATP1A2"	"ATP1A2"	"477.1"
"PDE9A"	"PDE9A"	"5152.19"
"ATP1B4"	"ATP1B4"	"23439.1"
"HGD"	"HGD"	"3081.1"
"HIBADH"	"HIBADH"	"11112.1"
"PDE9A"	"PDE9A"	"5152.13"
"HDC"	"HDC"	"3067.1"
"SLC9A2"	"SLC9A2"	"6549.1"
"PDE9A"	"PDE9A"	"5152.2"
"SLC9A3"	"SLC9A3"	"6550.1"
"PDE6G"	"PDE6G"	"5148.1"
"PDE9A"	"PDE9A"	"5152.11"
"ATP4B"	"ATP4B"	"496.1"
"SLC9A1"	"SLC9A1"	"6548.1"
"PDE9A"	"PDE9A"	"5152.7"
"ATP4A"	"ATP4A"	"495.1"
"CNDP2"	"CNDP2"	"55748.1"
"PDE6B"	"PDE6B"	"5158.1"
"CNDP1"	"CNDP1"	"84735.1"
"PDE9A"	"PDE9A"	"5152.2"
"SLC12A3"	"SLC12A3"	"6559.1"
"KYNU"	"KYNU"	"8942.1"
"PDE9A"	"PDE9A"	"5152.1"
"PDHB"	"PDHB"	"5162.1"
"HMGCS1"	"HMGCS1"	"3157.2"
"PDHA2"	"PDHA2"	"5161.1"
"HMGCS1"	"HMGCS1"	"3157.1"
"SLC24A4"	"SLC24A4"	"123041.2"
"DLAT"	"DLAT"	"1737.1"
"SLC24A4"	"SLC24A4"	"123041.3"
"HMGCS2"	"HMGCS2"	"3158.1"
"PDHA1"	"PDHA1"	"5160.1"
"SLC24A4"	"SLC24A4"	"123041.1"
"PNPO"	"PNPO"	"55163.1"
"SLC24A2"	"SLC24A2"	"25769.1"
"HMGCLL1"	"HMGCLL1"	"54511.1"
"ATP8A1"	"ATP8A1"	"10396.1"
"SLC24A3"	"SLC24A3"	"57419.1"
"SLC24A1"	"SLC24A1"	"9187.1"
"PCK1"	"PCK1"	"5105.1"
"CANT1"	"CANT1"	"124583.1"
