""	"symbol"	"gene_number"
"HMGCL"	"HMGCL"	"3155.1"
"PCK2"	"PCK2"	"5106.1"
"HMOX1"	"HMOX1"	"3162.1"
"HMOX2"	"HMOX2"	"3163.1"
"DCTPP1"	"DCTPP1"	"79077.1"
"ACOX3"	"ACOX3"	"8310.1"
"ENTPD4"	"ENTPD4"	"9583.1"
""	""	"26062.1"
"LDHD"	"LDHD"	"197257.1"
"PCYT2"	"PCYT2"	"5833.1"
"LDHD"	"LDHD"	"197257.2"
"DTYMK"	"DTYMK"	"1841.1"
"PEMT"	"PEMT"	"10400.3"
"SGSH"	"SGSH"	"6448.1"
"PEMT"	"PEMT"	"10400.2"
"HSD11B1"	"HSD11B1"	"3290.2"
"PEMT"	"PEMT"	"10400.1"
"NME7"	"NME7"	"29922.1"
"PHGDH"	"PHGDH"	"26227.1"
"NME6"	"NME6"	"10201.1"
"PTGDS"	"PTGDS"	"5730.1"
"NME1"	"NME1"	"4830.2"
"HPGDS"	"HPGDS"	"27306.1"
"PTGES2"	"PTGES2"	"80142.1"
"NME2"	"NME2"	"4831.1"
"PTGES2"	"PTGES2"	"80142.2"
"NME7"	"NME7"	"29922.2"
"PTGES2"	"PTGES2"	"80142.3"
"NME3"	"NME3"	"4832.1"
"NME1"	"NME1"	"4830.1"
"PIKFYVE"	"PIKFYVE"	"200576.2"
"PIP4K2B"	"PIP4K2B"	"8396.2"
"PTGES"	"PTGES"	"9536.2"
"PTGES2"	"PTGES2"	"80142.4"
"NME4"	"NME4"	"4833.1"
"PTGES"	"PTGES"	"9536.1"
"RHAG"	"RHAG"	"6005.1"
"PIP4K2C"	"PIP4K2C"	"79837.1"
"PTGIS"	"PTGIS"	"5740.1"
"PIK3C3"	"PIK3C3"	"5289.1"
"RHBG"	"RHBG"	"57127.1"
"SLC12A1"	"SLC12A1"	"6557.1"
"PIGA"	"PIGA"	"5277.2"
"PTPMT1"	"PTPMT1"	"114971.1"
"SLC12A2"	"SLC12A2"	"6558.1"
"NMNAT3"	"NMNAT3"	"349565.1"
"PGS1"	"PGS1"	"9489.1"
"NMNAT1"	"NMNAT1"	"64802.1"
"NMNAT2"	"NMNAT2"	"23057.2"
"DPM2"	"DPM2"	"8818.1"
"PTGS2"	"PTGS2"	"5743.1"
"NMNAT2"	"NMNAT2"	"23057.1"
"PTGS1"	"PTGS1"	"5742.1"
"NAMPT"	"NAMPT"	"10135.1"
"TAT"	"TAT"	"6898.1"
"PAH"	"PAH"	"5053.1"
"PIGH"	"PIGH"	"5283.1"
"PHYH"	"PHYH"	"5264.1"
"DPM2"	"DPM2"	"8818.2"
"PIGA"	"PIGA"	"5277.3"
"NNMT"	"NNMT"	"4837.1"
"PNMT"	"PNMT"	"5409.1"
"PTEN"	"PTEN"	"5728.1"
""	""	"645740.1"
"SYNJ2"	"SYNJ2"	"8871.1"
"PIGA"	"PIGA"	"5277.1"
"PIGP"	"PIGP"	"51227.2"
"PIP5K1B"	"PIP5K1B"	"8395.1"
"PIGQ"	"PIGQ"	"9091.2"
"NOS1"	"NOS1"	"4842.1"
"PIP5K1C"	"PIP5K1C"	"23396.1"
"NOS2"	"NOS2"	"4843.2"
"PIGC"	"PIGC"	"5279.2"
"PIGQ"	"PIGQ"	"9091.1"
"PIP5K1A"	"PIP5K1A"	"8394.1"
"PIGP"	"PIGP"	"51227.1"
"NOS2"	"NOS2"	"4843.1"
"PI4K2A"	"PI4K2A"	"55361.1"
""	""	"201288.1"
"NOS3"	"NOS3"	"4846.1"
"PI4KA"	"PI4KA"	"5297.1"
"PNP"	"PNP"	"4860.1"
"PIGP"	"PIGP"	"51227.3"
"PI4KB"	"PI4KB"	"5298.1"
"PIGC"	"PIGC"	"5279.1"
"PIK3CG"	"PIK3CG"	"5294.1"
"PLA2G4E"	"PLA2G4E"	"123745.1"
"PIK3CA"	"PIK3CA"	"5290.1"
"SLC22A1"	"SLC22A1"	"6580.1"
"PIK3R1"	"PIK3R1"	"5295.3"
"HCST"	"HCST"	"10870.1"
"PIK3R1"	"PIK3R1"	"5295.1"
"ST6GALNAC1"	"ST6GALNAC1"	"55808.1"
"PHEX"	"PHEX"	"5251.1"
"PLA2G2A"	"PLA2G2A"	"5320.1"
"PIK3R3"	"PIK3R3"	"8503.1"
"NT5C"	"NT5C"	"30833.1"
"PLA2G12A"	"PLA2G12A"	"81579.1"
"PIK3R1"	"PIK3R1"	"5295.2"
"NT5M"	"NT5M"	"56953.1"
"PIK3R5"	"PIK3R5"	"23533.1"
"PLA2G6"	"PLA2G6"	"8398.2"
"PIK3R2"	"PIK3R2"	"5296.1"
"PLA2G5"	"PLA2G5"	"5322.1"
"NT5E"	"NT5E"	"4907.1"
"PIK3CB"	"PIK3CB"	"5291.1"
"ITPA"	"ITPA"	"3704.2"
"PIK3CD"	"PIK3CD"	"5293.1"
"SI"	"SI"	"6476.1"
"OTC"	"OTC"	"5009.1"
"PLA2G6"	"PLA2G6"	"8398.1"
"OCRL"	"OCRL"	"4952.2"
"PLA2G2F"	"PLA2G2F"	"64600.1"
"OCRL"	"OCRL"	"4952.1"
"OXCT2"	"OXCT2"	"64064.1"
"PLCB1"	"PLCB1"	"23236.1"
"PLA2G4B"	"PLA2G4B"	"100137049.1"
"PLCB1"	"PLCB1"	"23236.2"
"PLA2G2E"	"PLA2G2E"	"30814.1"
"PLA2G2D"	"PLA2G2D"	"26279.1"
"PLCG1"	"PLCG1"	"5335.2"
"PLA2G10"	"PLA2G10"	"8399.1"
"PLCB4"	"PLCB4"	"5332.1"
"PLCXD2"	"PLCXD2"	"257068.1"
"PLA2G1B"	"PLA2G1B"	"5319.1"
"ST8SIA1"	"ST8SIA1"	"6489.1"
"PLCG2"	"PLCG2"	"5336.1"
"PLCH1"	"PLCH1"	"23007.1"
"ST8SIA5"	"ST8SIA5"	"29906.1"
"PLCL1"	"PLCL1"	"5334.1"
"PMVK"	"PMVK"	"10654.1"
"PLCH2"	"PLCH2"	"9651.1"
"IP6K1"	"IP6K1"	"9807.2"
"STS"	"STS"	"412.1"
"PLCE1"	"PLCE1"	"51196.1"
"IP6K3"	"IP6K3"	"117283.1"
"PLCB3"	"PLCB3"	"5331.1"
"IP6K1"	"IP6K1"	"9807.1"
"PLCD4"	"PLCD4"	"84812.1"
"PLCB2"	"PLCB2"	"5330.1"
"SDHC"	"SDHC"	"6391.1"
"PLCD3"	"PLCD3"	"113026.1"
"SDHD"	"SDHD"	"6392.1"
"SDHB"	"SDHB"	"6390.1"
"IP6K2"	"IP6K2"	"51447.2"
"PLCD1"	"PLCD1"	"5333.1"
"IP6K2"	"IP6K2"	"51447.1"
"IP6K2"	"IP6K2"	"51447.6"
"SDHA"	"SDHA"	"6389.1"
"SUOX"	"SUOX"	"6821.1"
"PLCZ1"	"PLCZ1"	"89869.1"
"IP6K2"	"IP6K2"	"51447.5"
"PLCG1"	"PLCG1"	"5335.1"
"IP6K2"	"IP6K2"	"51447.4"
"SLC6A6"	"SLC6A6"	"6533.1"
"PLCB4"	"PLCB4"	"5332.2"
"IP6K2"	"IP6K2"	"51447.3"
"PIK3C2G"	"PIK3C2G"	"5288.1"
"VNN3"	"VNN3"	"55350.3"
"PCBD1"	"PCBD1"	"5092.1"
"PCBD1"	"PCBD1"	"5092.2"
"PIK3C2B"	"PIK3C2B"	"5287.1"
"NNT"	"NNT"	"23530.2"
"PIK3C2A"	"PIK3C2A"	"5286.1"
"PIP4K2B"	"PIP4K2B"	"8396.1"
"NNT"	"NNT"	"23530.1"
"VNN1"	"VNN1"	"8876.1"
"PIKFYVE"	"PIKFYVE"	"200576.3"
"PIKFYVE"	"PIKFYVE"	"200576.1"
"VNN3"	"VNN3"	"55350.1"
"THTPA"	"THTPA"	"79178.1"
"PIP4K2A"	"PIP4K2A"	"5305.1"
"VNN2"	"VNN2"	"8875.1"
"TPSB2"	"TPSB2"	"64499.1"
"VNN3"	"VNN3"	"55350.2"
"VNN2"	"VNN2"	"8875.2"
"SLC16A2"	"SLC16A2"	"6567.1"
"TPSAB1"	"TPSAB1"	"7177.1"
"TYMP"	"TYMP"	"1890.1"
"PPA2"	"PPA2"	"27068.2"
"ACE"	"ACE"	"1636.1"
"PPA2"	"PPA2"	"27068.3"
"KL"	"KL"	"9365.1"
"B4GALT6"	"B4GALT6"	"9331.1"
"PPA2"	"PPA2"	"27068.1"
"TMLHE"	"TMLHE"	"55217.1"
"UGT8"	"UGT8"	"7368.1"
"TXNRD1"	"TXNRD1"	"7296.2"
"PPA2"	"PPA2"	"27068.4"
"PLPP3"	"PLPP3"	"8613.1"
"PKM"	"PKM"	"5315.1"
"PLPP1"	"PLPP1"	"8611.1"
"PLPP1"	"PLPP1"	"8611.2"
"TXNRD1"	"TXNRD1"	"7296.1"
"TXNRD1"	"TXNRD1"	"7296.4"
"TXNRD1"	"TXNRD1"	"7296.3"
"DECR2"	"DECR2"	"26063.1"
"PLPP2"	"PLPP2"	"8612.1"
"DECR1"	"DECR1"	"1666.1"
"CBR3"	"CBR3"	"874.1"
"PPOX"	"PPOX"	"5498.1"
"TREH"	"TREH"	"11181.1"
"DHRS4"	"DHRS4"	"10901.1"
"CYP4F22"	"CYP4F22"	"126410.1"
"ATHL1"	"ATHL1"	"80162.1"
"TPH1"	"TPH1"	"7166.1"
"EPX"	"EPX"	"8288.1"
"EPHX2"	"EPHX2"	"2053.1"
"PRDX6"	"PRDX6"	"9588.1"
"TPH2"	"TPH2"	"121278.1"
"MTMR3"	"MTMR3"	"8897.3"
"MPO"	"MPO"	"4353.1"
"MTMR2"	"MTMR2"	"8898.1"
"SULT2B1"	"SULT2B1"	"6820.2"
"MTMR3"	"MTMR3"	"8897.2"
"IDO2"	"IDO2"	"169355.1"
"MTMR3"	"MTMR3"	"8897.1"
"TDO2"	"TDO2"	"6999.1"
"GPX5"	"GPX5"	"2880.1"
"PRODH"	"PRODH"	"5625.1"
"SLC6A5"	"SLC6A5"	"9152.1"
"SLCO2A1"	"SLCO2A1"	"6578.1"
"SLC13A1"	"SLC13A1"	"6561.1"
"SLC4A7"	"SLC4A7"	"9497.1"
"SLC5A11"	"SLC5A11"	"115584.1"
"SLC20A2"	"SLC20A2"	"6575.1"
"TBXAS1"	"TBXAS1"	"6916.1"
"PISD"	"PISD"	"23761.1"
"SLC20A1"	"SLC20A1"	"6574.1"
"TH"	"TH"	"7054.2"
"SLC34A3"	"SLC34A3"	"142680.1"
"TH"	"TH"	"7054.1"
"PTDSS1"	"PTDSS1"	"9791.1"
"SLC6A7"	"SLC6A7"	"6534.1"
"PTDSS2"	"PTDSS2"	"81490.1"
"ACOT8"	"ACOT8"	"10005.3"
"TH"	"TH"	"7054.3"
"HSD17B3"	"HSD17B3"	"3293.1"
"DBI"	"DBI"	"1622.1"
"ABCD2"	"ABCD2"	"225.1"
"TYRP1"	"TYRP1"	"7306.1"
"ACOT8"	"ACOT8"	"10005.1"
"ACOT2"	"ACOT2"	"10965.1"
"SLC27A6"	"SLC27A6"	"28965.1"
"ACOT8"	"ACOT8"	"10005.2"
"ACOT4"	"ACOT4"	"122970.1"
"GNE"	"GNE"	"10020.1"
"ACSBG1"	"ACSBG1"	"23205.1"
"PTS"	"PTS"	"5805.1"
"HACL1"	"HACL1"	"26061.1"
"SAT2"	"SAT2"	"112483.1"
"SAT1"	"SAT1"	"6303.1"
"ALG5"	"ALG5"	"29880.1"
"SLC6A20"	"SLC6A20"	"54716.1"
"SLC35A2"	"SLC35A2"	"7355.1"
"SLC15A1"	"SLC15A1"	"6564.1"
"PDXK"	"PDXK"	"8566.1"
"SLC46A1"	"SLC46A1"	"113235.1"
"UPP2"	"UPP2"	"151531.1"
"TPP1"	"TPP1"	"1200.1"
"FABP1"	"FABP1"	"2168.1"
"UGDH"	"UGDH"	"7358.1"
"SLC35D1"	"SLC35D1"	"23169.1"
"LAP3"	"LAP3"	"51056.1"
"UPP1"	"UPP1"	"7378.2"
"SLC22A13"	"SLC22A13"	"9390.1"
"UPP1"	"UPP1"	"7378.1"
"UXS1"	"UXS1"	"80146.1"
"PEPD"	"PEPD"	"5184.1"
"SLC11A2"	"SLC11A2"	"4891.1"
"ENPP2"	"ENPP2"	"5168.1"
"GSTM1"	"GSTM1"	"2944.2"
"SLC40A1"	"SLC40A1"	"30061.1"
"GSTM1"	"GSTM1"	"2944.1"
"SLC35B4"	"SLC35B4"	"84912.1"
"ALPI"	"ALPI"	"248.1"
"RBKS"	"RBKS"	"64080.1"
"MTHFR"	"MTHFR"	"4524.1"
"LALBA"	"LALBA"	"3906.1"
"PYCRL"	"PYCRL"	"65263.1"
"RDH16"	"RDH16"	"8608.1"
"PGLS"	"PGLS"	"25796.1"
"RDH5"	"RDH5"	"5959.1"
"UGCG"	"UGCG"	"7357.1"
"FLVCR1"	"FLVCR1"	"28982.1"
"RPE"	"RPE"	"6120.2"
"SLC35D2"	"SLC35D2"	"11046.1"
"UGT1A8"	"UGT1A8"	"54576.1"
"UGT1A10"	"UGT1A10"	"54575.1"
"RDH11"	"RDH11"	"51109.1"
"RPE"	"RPE"	"6120.1"
"RDH10"	"RDH10"	"157506.1"
"UGT1A6"	"UGT1A6"	"54578.1"
"UGT1A5"	"UGT1A5"	"54579.1"
"SLC22A7"	"SLC22A7"	"10864.1"
"SLC22A6"	"SLC22A6"	"9356.1"
"UGT1A4"	"UGT1A4"	"54657.1"
"SDR16C5"	"SDR16C5"	"195814.1"
"SLC22A8"	"SLC22A8"	"9376.1"
"RDH13"	"RDH13"	"112724.1"
"RDH8"	"RDH8"	"50700.1"
"UGT1A1"	"UGT1A1"	"54658.1"
"SLC6A18"	"SLC6A18"	"348932.1"
"UGT1A3"	"UGT1A3"	"54659.1"
"UGT1A7"	"UGT1A7"	"54577.1"
"RDH14"	"RDH14"	"57665.1"
"SLC36A4"	"SLC36A4"	"120103.1"
"CFTR"	"CFTR"	"1080.1"
"ABCC11"	"ABCC11"	"85320.1"
"RDH12"	"RDH12"	"145226.1"
"UGT1A9"	"UGT1A9"	"54600.1"
"SLC29A4"	"SLC29A4"	"222962.1"
"PNPLA4"	"PNPLA4"	"8228.1"
"SLC52A3"	"SLC52A3"	"113278.1"
"ABCA8"	"ABCA8"	"10351.1"
"NMRK1"	"NMRK1"	"54981.1"
"UGT2B7"	"UGT2B7"	"7364.1"
"ABCG2"	"ABCG2"	"9429.1"
"UGT2B17"	"UGT2B17"	"7367.1"
"SLC22A11"	"SLC22A11"	"55867.1"
"UGT2B28"	"UGT2B28"	"54490.1"
"AQP7"	"AQP7"	"364.1"
"UGT2B15"	"UGT2B15"	"7366.1"
"ST3GAL1"	"ST3GAL1"	"6482.2"
"AQP3"	"AQP3"	"360.1"
"ST3GAL4"	"ST3GAL4"	"6484.1"
"ST3GAL1"	"ST3GAL1"	"6482.1"
"UGT2B4"	"UGT2B4"	"7363.1"
"AQP10"	"AQP10"	"89872.1"
"UGT2B10"	"UGT2B10"	"7365.1"
"ST3GAL2"	"ST3GAL2"	"6483.1"
"ABCA3"	"ABCA3"	"21.1"
"UGT2B11"	"UGT2B11"	"10720.1"
"ABCA4"	"ABCA4"	"24.1"
"UCKL1"	"UCKL1"	"54963.1"
"ABCC5"	"ABCC5"	"10057.2"
"SLC5A10"	"SLC5A10"	"125206.1"
"XDH"	"XDH"	"7498.1"
"UST"	"UST"	"10090.1"
"SLC5A9"	"SLC5A9"	"200010.1"
"HS2ST1"	"HS2ST1"	"9653.1"
"XYLB"	"XYLB"	"9942.1"
"SLC5A2"	"SLC5A2"	"6524.1"
"SLC5A12"	"SLC5A12"	"159963.1"
"XYLT1"	"XYLT1"	"64131.1"
"SLC52A1"	"SLC52A1"	"55065.1"
"XYLT2"	"XYLT2"	"64132.1"
"IDS"	"IDS"	"3423.2"
"SLC52A2"	"SLC52A2"	"79581.1"
"IDS"	"IDS"	"3423.1"
"ABCC9"	"ABCC9"	"10060.1"
"HS3ST1"	"HS3ST1"	"9957.1"
"DCXR"	"DCXR"	"51181.1"
"ABCC8"	"ABCC8"	"6833.1"
"HS3ST4"	"HS3ST4"	"9951.1"
"KCNJ8"	"KCNJ8"	"3764.1"
"HS3ST5"	"HS3ST5"	"222537.1"
"LHPP"	"LHPP"	"64077.1"
"KCNJ11"	"KCNJ11"	"3767.1"
"PPA1"	"PPA1"	"5464.1"
"STRA6"	"STRA6"	"64220.1"
"MGEA5"	"MGEA5"	"10724.1"
"RBP4"	"RBP4"	"5950.1"
"CP"	"CP"	"1356.1"
"FTH1"	"FTH1"	"2495.1"
"HS3ST2"	"HS3ST2"	"9956.1"
"RBP1"	"RBP1"	"5947.1"
"HS3ST3A1"	"HS3ST3A1"	"9955.1"
"FTL"	"FTL"	"2512.1"
"FTMT"	"FTMT"	"94033.1"
"RBP2"	"RBP2"	"5948.1"
"NPC1L1"	"NPC1L1"	"29881.1"
"CYB5R3"	"CYB5R3"	"1727.1"
"HS3ST3B1"	"HS3ST3B1"	"9953.1"
"HS3ST6"	"HS3ST6"	"64711.1"
"SCARB1"	"SCARB1"	"949.1"
"FOLR2"	"FOLR2"	"2350.1"
"CHST12"	"CHST12"	"55501.1"
"CYB5R1"	"CYB5R1"	"51706.1"
"HPGD"	"HPGD"	"3248.1"
"CYB5R2"	"CYB5R2"	"51700.1"
"SGMS2"	"SGMS2"	"166929.1"
"TXNRD2"	"TXNRD2"	"10587.1"
"CHST13"	"CHST13"	"166012.1"
"CHST14"	"CHST14"	"113189.1"
"GPCPD1"	"GPCPD1"	"56261.1"
"CHST11"	"CHST11"	"50515.1"
"COASY"	"COASY"	"80347.1"
"IREB2"	"IREB2"	"3658.1"
"NT5C1B"	"NT5C1B"	"93034.1"
"NT5C1A"	"NT5C1A"	"84618.1"
"ARSB"	"ARSB"	"411.2"
"AK1"	"AK1"	"203.1"
"ARSB"	"ARSB"	"411.1"
"NT5C2"	"NT5C2"	"22978.1"
"AK7"	"AK7"	"122481.1"
"NT5C1B-RDH14"	"NT5C1B-RDH14"	"100526794.1"
"ADSS"	"ADSS"	"159.1"
"NT5C3A"	"NT5C3A"	"51251.1"
"CHST5"	"CHST5"	"23563.2"
"ADSSL1"	"ADSSL1"	"122622.2"
"ADSSL1"	"ADSSL1"	"122622.1"
"CHST4"	"CHST4"	"10164.1"
"APRT"	"APRT"	"353.1"
"PROSC"	"PROSC"	"11212.1"
"HPRT1"	"HPRT1"	"3251.1"
"ARG1"	"ARG1"	"383.1"
"CHST2"	"CHST2"	"9435.1"
"CHST5"	"CHST5"	"23563.1"
"CPOX"	"CPOX"	"1371.1"
"CHST6"	"CHST6"	"4166.1"
"NIT2"	"NIT2"	"56954.1"
"CTPS1"	"CTPS1"	"1503.1"
"CHST3"	"CHST3"	"9469.1"
"CTPS2"	"CTPS2"	"56474.1"
"CHST1"	"CHST1"	"8534.1"
"CTH"	"CTH"	"1491.2"
"PKLR"	"PKLR"	"5313.1"
"GGTLC1"	"GGTLC1"	"92086.1"
"GUK1"	"GUK1"	"2987.1"
"CHST7"	"CHST7"	"56548.1"
"QDPR"	"QDPR"	"5860.1"
"HS6ST1"	"HS6ST1"	"9394.1"
"GGT2"	"GGT2"	"728441.1"
"GGT6"	"GGT6"	"124975.1"
"GGPS1"	"GGPS1"	"9453.1"
"GGT7"	"GGT7"	"2686.1"
"ENO1"	"ENO1"	"2023.1"
"ENO3"	"ENO3"	"2027.2"
"HS6ST2"	"HS6ST2"	"90161.2"
"ENO3"	"ENO3"	"2027.1"
"GGTLC2"	"GGTLC2"	"91227.1"
"ENO2"	"ENO2"	"2026.1"
""	""	"102724197.1"
"HS6ST2"	"HS6ST2"	"90161.1"
"HS6ST3"	"HS6ST3"	"266722.1"
"HEPH"	"HEPH"	"9843.1"
"GNS"	"GNS"	"2799.1"
"FLAD1"	"FLAD1"	"80308.1"
"AASS"	"AASS"	"10157.1"
"COMTD1"	"COMTD1"	"118881.1"
"PFKL"	"PFKL"	"5211.1"
"FLAD1"	"FLAD1"	"80308.2"
"CTH"	"CTH"	"1491.1"
"UGP2"	"UGP2"	"7360.1"
"UGP2"	"UGP2"	"7360.2"
"GPD1"	"GPD1"	"2819.1"
"HNMT"	"HNMT"	"3176.1"
"GAPDHS"	"GAPDHS"	"26330.1"
"SARDH"	"SARDH"	"1757.1"
"SGPP1"	"SGPP1"	"81537.1"
"GAPDH"	"GAPDH"	"2597.1"
"GMPPA"	"GMPPA"	"29926.1"
"GFPT1"	"GFPT1"	"2673.1"
"GFPT2"	"GFPT2"	"9945.1"
"SORD"	"SORD"	"6652.1"
"GMPPB"	"GMPPB"	"29925.1"
"LGSN"	"LGSN"	"51557.1"
"CBS"	"CBS"	"875.1"
"SCP2"	"SCP2"	"6342.1"
"GLUL"	"GLUL"	"2752.1"
"CBSL"	"CBSL"	"102724560.1"
"DPEP1"	"DPEP1"	"1800.1"
"ALPL"	"ALPL"	"249.1"
"SLC7A7"	"SLC7A7"	"9056.1"
"GMDS"	"GMDS"	"2762.1"
"SPTLC1"	"SPTLC1"	"10558.1"
"GCH1"	"GCH1"	"2643.1"
"RPIA"	"RPIA"	"22934.1"
"CA3"	"CA3"	"761.1"
"GMPR2"	"GMPR2"	"51292.1"
"SPTLC3"	"SPTLC3"	"55304.1"
"CA7"	"CA7"	"766.2"
"SPTLC2"	"SPTLC2"	"9517.1"
"ESD"	"ESD"	"2098.1"
"SGPL1"	"SGPL1"	"8879.1"
"GMPR"	"GMPR"	"2766.1"
"CA12"	"CA12"	"771.2"
"MIP"	"MIP"	"4284.1"
"CARNS1"	"CARNS1"	"57571.1"
"ST3GAL5"	"ST3GAL5"	"8869.1"
"AQP5"	"AQP5"	"362.1"
"AQP1"	"AQP1"	"358.1"
"GMPS"	"GMPS"	"8833.1"
"ACOT1"	"ACOT1"	"641371.1"
"AQP4"	"AQP4"	"361.1"
"PPT1"	"PPT1"	"5538.1"
"SPHK2"	"SPHK2"	"56848.1"
"AQP2"	"AQP2"	"359.1"
"SPHK1"	"SPHK1"	"8877.1"
"HMBS"	"HMBS"	"3145.1"
"PPT2"	"PPT2"	"9374.1"
"ACOT7"	"ACOT7"	"11332.1"
"BCAT1"	"BCAT1"	"586.1"
"PECR"	"PECR"	"55825.1"
"MDH1B"	"MDH1B"	"130752.1"
"MECR"	"MECR"	"51102.1"
"IMPDH2"	"IMPDH2"	"3615.1"
"IMPDH1"	"IMPDH1"	"3614.1"
"ACADVL"	"ACADVL"	"37.1"
"SMPD3"	"SMPD3"	"55512.2"
"IMPDH1"	"IMPDH1"	"3614.2"
"SMPD4"	"SMPD4"	"55627.1"
"ACADL"	"ACADL"	"33.1"
"BSG"	"BSG"	"682.1"
"GLYCTK"	"GLYCTK"	"132158.1"
"SMPD3"	"SMPD3"	"55512.1"
"GMPPA"	"GMPPA"	"29926.2"
"ENPP7"	"ENPP7"	"339221.1"
"GMPPB"	"GMPPB"	"29925.2"
"SMPD1"	"SMPD1"	"6609.1"
"TMEM91"	"TMEM91"	"641649.1"
"MPI"	"MPI"	"4351.1"
"QPRT"	"QPRT"	"23475.1"
"SMPD2"	"SMPD2"	"6610.1"
""	""	"100287639.1"
"SGMS1"	"SGMS1"	"259230.1"
"NAPRT"	"NAPRT"	"93100.1"
"MTHFD2L"	"MTHFD2L"	"441024.1"
"RRM2B"	"RRM2B"	"50484.1"
"NADK"	"NADK"	"65220.1"
"RRM2"	"RRM2"	"6241.1"
"SLC26A8"	"SLC26A8"	"116369.2"
"SLC26A7"	"SLC26A7"	"115111.2"
"SLC9A4"	"SLC9A4"	"389015.1"
"SLC26A7"	"SLC26A7"	"115111.1"
"RRM1"	"RRM1"	"6240.1"
"SLC9A5"	"SLC9A5"	"6553.1"
"HMGCR"	"HMGCR"	"3156.1"
"SLC26A11"	"SLC26A11"	"284129.1"
"GPI"	"GPI"	"2821.1"
"SLC26A9"	"SLC26A9"	"115019.2"
"PGK1"	"PGK1"	"5230.1"
"SCD5"	"SCD5"	"79966.1"
"PGK2"	"PGK2"	"5232.1"
"MIA3"	"MIA3"	"375056.1"
"MTHFS"	"MTHFS"	"10588.1"
"SLC26A9"	"SLC26A9"	"115019.1"
"SLC26A8"	"SLC26A8"	"116369.1"
"PGM1"	"PGM1"	"5236.1"
"SLC13A4"	"SLC13A4"	"26266.1"
"ADO"	"ADO"	"84890.1"
"PGM2"	"PGM2"	"55276.1"
"SOAT1"	"SOAT1"	"6646.1"
"PMM1"	"PMM1"	"5372.1"
"SOD3"	"SOD3"	"6649.1"
"PANK4"	"PANK4"	"55229.1"
"PMM2"	"PMM2"	"5373.1"
"PANK3"	"PANK3"	"79646.1"
"PANK2"	"PANK2"	"80025.3"
"PANK1"	"PANK1"	"53354.1"
"PANK2"	"PANK2"	"80025.1"
"SOD2"	"SOD2"	"6648.1"
"SOD1"	"SOD1"	"6647.1"
"PANK1"	"PANK1"	"53354.2"
"PANK2"	"PANK2"	"80025.2"
"SPR"	"SPR"	"6697.1"
"PANK1"	"PANK1"	"53354.3"
"SMS"	"SMS"	"6611.1"
"NUDT12"	"NUDT12"	"83594.1"
"PANK2"	"PANK2"	"80025.4"
"TST"	"TST"	"7263.1"
"HIBCH"	"HIBCH"	"26275.1"
"SRM"	"SRM"	"6723.1"
"SQLE"	"SQLE"	"6713.1"
"FDFT1"	"FDFT1"	"2222.1"
"ALAD"	"ALAD"	"210.2"
"PYCR2"	"PYCR2"	"29920.1"
